point_id,expected_demand,type,hex_id,attractiveness
996,3345.686343231055,pvz,44,0.4
1005,928.6989606045794,rent,56,0.05
1006,1913.9701941254561,rent,56,0.05
1008,273.725285822536,rent,40,0.05
1009,310.9886060014546,rent,40,0.05
1010,683.1213655834231,rent,40,0.05
1011,1056.3743757445907,rent,47,0.2
1012,590.6494474436685,rent,47,0.2
1013,1022.2469682635017,rent,62,0.05
1014,876.331723381253,rent,62,0.05
1015,1000.4401228702686,rent,62,0.05
1016,735.6733055506318,rent,46,0.05
1017,698.3608161855587,rent,46,0.05
1018,3332.5173268838084,rent,39,0.2
1019,732.0606471371239,rent,39,0.05
1020,1254.0560490281903,rent,31,0.2
1021,956.3137748459828,rent,31,0.05
1023,858.6576335423985,rent,14,0.05
1024,709.6765820068268,rent,23,0.05
1025,709.6765820068268,rent,23,0.05
1026,1820.3222710745497,rent,23,0.1
1027,1820.3222710745497,rent,23,0.1
1028,634.9565867134565,rent,23,0.05
1029,1310.9295721321269,rent,23,0.1
1030,1400.659644697161,rent,23,0.1
1031,2353.4477330972086,rent,23,0.2
1032,1998.1064503380387,rent,30,0.3
1033,1804.340955537809,rent,30,0.3
1034,1886.3654228944117,rent,30,0.3
1036,2456.66577947956,rent,39,0.2
1037,1634.385036833341,rent,39,0.2
1038,960.9819311556022,rent,38,0.2
1039,230.77257786937298,rent,66,0.05
1040,791.3148534222062,rent,38,0.2
1041,365.02421429864285,rent,38,0.1
1042,1952.5359427035219,rent,45,0.3
1043,1361.8868362203684,rent,45,0.2
1044,1052.0194083203212,rent,46,0.05
1045,1277.0778741886986,rent,45,0.2
1046,1259.574236610472,rent,45,0.2
1047,1847.2982573407787,rent,54,0.05
1048,396.7569979038484,rent,61,0.05
1050,337.56338511051433,rent,45,0.05
1051,337.9755502342174,rent,45,0.05
1052,586.2468610605746,rent,45,0.1
1053,556.6620988114668,rent,53,0.05
1054,439.53703298662276,rent,53,0.05
1055,380.60914595805497,rent,44,0.05
1056,225.6043457395364,rent,45,0.05
1057,1011.0265981802206,rent,45,0.2
1058,1384.2010225544184,rent,45,0.3
1059,774.7599113857052,rent,44,0.05
1060,1007.4200055916004,rent,44,0.1
1061,182.41663043789111,rent,37,0.1
1062,157.19297317421768,rent,37,0.05
1063,500.3439537830064,rent,37,0.2
1064,1306.121364380957,rent,14,0.1
1065,613.232231521386,rent,13,0.1
1066,291.47729512364765,rent,13,0.05
1067,814.3675497833401,rent,13,0.1
1068,103.3247885407121,rent,37,0.05
1069,494.2959010669275,rent,28,0.1
1070,1074.7799479340724,rent,28,0.2
1071,1100.9722235444933,rent,28,0.2
1072,1338.24684892078,rent,12,0.2
1073,552.8970792743454,rent,21,0.2
1074,2238.2785978202496,rent,21,0.6
1075,673.8426606407862,rent,20,0.4
1076,996.5976250172776,rent,20,0.5
1077,406.02449815479304,rent,20,0.2
1078,192.97721824074833,rent,20,0.1
1079,929.4851065203342,rent,28,0.2
1080,158.4537786628812,rent,21,0.05
1081,1103.473535109617,rent,21,0.3
1082,1188.9570009918305,rent,28,0.2
1083,863.8693821401528,rent,21,0.3
1084,1100.9722235444933,rent,28,0.2
1085,1074.7799479340724,rent,28,0.2
1086,4356.332330437967,rent,29,0.2
1087,198.41368886484605,rent,37,0.1
1088,500.3439537830064,rent,37,0.2
1089,157.19297317421768,rent,37,0.05
1090,1273.2278879590765,rent,60,0.05
1091,632.5935854344954,rent,28,0.1
1092,612.0602402764061,rent,28,0.1
1093,1035.7207543096079,rent,28,0.2
1094,860.6400158419044,rent,28,0.2
1095,217.93931191884755,rent,28,0.05
1096,1769.5328162450699,rent,28,0.4
1097,106.9586969340173,rent,36,0.05
1098,159.5043762237506,rent,20,0.1
1099,157.17650290281222,rent,20,0.1
1100,1286.6518614731172,rent,28,0.3
1101,796.821597636195,rent,27,0.8
1102,753.6013740982581,rent,27,0.8
1103,774.0387951223296,rent,27,0.7
1104,216.8277894394328,rent,27,0.2
1105,570.0524296732659,rent,27,0.5
1106,97.48334110651838,rent,20,0.05
1107,75.27972710887192,rent,20,0.05
1108,288.4604919156804,rent,27,0.3
1109,280.00220674137046,rent,27,0.3
1110,64.53425602515969,rent,27,0.05
1111,785.9631408837209,rent,27,0.6
1112,1017.426475340016,rent,27,0.6
1113,1017.426475340016,rent,27,0.6
1114,2012.2449562225634,rent,27,1.0
1115,633.12865592443,rent,27,0.4
1116,231.37967209840733,rent,19,0.05
1117,162.87652144770664,rent,19,0.05
1118,0.0,rent,11,0.05
1119,0.0,rent,11,0.05
1120,0.0,rent,11,0.05
1121,0.0,rent,11,0.05
1122,0.0,rent,11,0.05
1123,0.0,rent,11,0.05
1124,0.0,rent,11,0.05
1132,77.79525763378413,rent,20,0.05
1133,79.25801260631333,rent,20,0.05
1134,0.0,rent,11,0.05
1137,996.4170051001842,rent,26,0.2
1138,304.484450093637,rent,26,0.05
1139,394.06302731868925,rent,26,0.05
1140,70.13813297423673,rent,35,0.05
1141,77.65019065674754,rent,35,0.05
1142,86.92331723036264,rent,35,0.05
1143,87.81187030194477,rent,35,0.05
1144,2249.0568874299356,rent,35,0.9
1145,1158.9588521371345,rent,35,0.5
1146,1627.6237391107466,rent,35,0.7
1147,1860.2376160025653,rent,35,0.8
1148,1373.806607853674,rent,35,0.6
1149,75.5168477586274,rent,35,0.05
1150,218.63286462005019,rent,34,0.05
1151,292.2184091590342,rent,34,0.05
1152,177.3018748958248,rent,34,0.05
1153,1764.77142119489,rent,42,0.7
1154,1738.7333796334055,rent,42,0.6
1155,120.9041609138154,rent,36,0.05
1156,329.7954020145283,rent,35,0.2
1157,97.5464717684391,rent,35,0.05
1158,92.46364080619556,rent,35,0.05
1159,86.45698776290847,rent,35,0.05
1160,94.9456720174291,rent,35,0.05
1161,75.25273512541943,rent,35,0.05
1162,75.25273512541943,rent,35,0.05
1163,440.1935408705217,rent,35,0.3
1164,745.6201362845252,rent,42,0.3
1165,395.16129936895493,rent,43,0.1
1166,374.34184146564144,rent,43,0.1
1167,672.1309865448984,rent,51,0.2
1168,716.1034741038517,rent,51,0.2
1169,752.7937387872711,rent,51,0.2
1170,752.7937387872711,rent,51,0.2
1171,211.55816985196577,rent,51,0.05
1172,226.40885288747185,rent,51,0.05
1173,389.1309841783838,rent,51,0.1
1174,220.60417701456396,rent,42,0.1
1175,137.1246061670861,rent,42,0.05
1176,137.1246061670861,rent,42,0.05
1177,175.9996936197002,rent,42,0.05
1178,403.01523941728914,rent,42,0.1
1179,2193.0734052959115,rent,42,0.5
1180,304.9266766160517,rent,42,0.1
1181,274.7378437844413,rent,42,0.1
1182,130.66468530577356,rent,42,0.05
1183,404.61630517899886,rent,42,0.2
1184,2725.9664500712693,rent,41,0.6
1185,596.7471404199334,rent,41,0.1
1186,1201.338531554214,rent,41,0.2
