hex_id,point_id,P_ij,expected_demand
4,50022727,0.009022470010471144,135.33705015706715
4,132495,0.21559909953126186,3233.986492968928
4,103449,0.03480631021322906,522.0946531984359
4,204296,0.2271123595902972,3406.685393854458
4,325074,0.03341691151502257,501.2536727253385
4,50001677,0.2776456473897308,4164.684710845962
4,50035379,0.01957570714685464,293.6356072028196
4,151795,0.1680230767063069,2520.3461505946034
4,327421,0.014798417896825818,221.97626845238727
5,5698,1.0,3000.0
6,50004504,0.7999975616812991,479.99853700877946
6,50004291,0.20000243831870093,120.00146299122056
11,159686,0.08151170604629833,0.0
11,205211,0.059715026300651404,0.0
11,205295,0.05291016970678342,0.0
11,307145,0.04022812186401432,0.0
11,122573,0.033587780420939725,0.0
11,306618,0.03330579272991924,0.0
11,159308,0.05229943326849599,0.0
11,309818,0.052950864008406,0.0
11,305288,0.05716150970755237,0.0
11,50010262,0.0496057994196558,0.0
11,1118,0.05438852138031606,0.0
11,1119,0.055620841036394204,0.0
11,1120,0.05420220628752778,0.0
11,1121,0.08368867256457851,0.0
11,1122,0.055620841036394204,0.0
11,1123,0.055620841036394204,0.0
11,1124,0.05438852138031606,0.0
11,1134,0.07319335180536247,0.0
12,115485,0.03449790648957215,1069.4351011767367
12,50007186,0.07823686483867555,2425.342809998942
12,320938,0.060728660892853954,1882.5884876784726
12,142984,0.08688683666227101,2693.4919365304013
12,161945,0.02235545130360104,693.0189904116322
12,211389,0.12066896108868415,3740.737793749209
12,151142,0.01452420135529793,450.2502420142358
12,171326,0.06925954451481842,2147.0458799593707
12,321023,0.008130231289954533,252.0371699885905
12,50000340,0.009801018487858283,303.8315731236068
12,50006677,0.02577721871706002,799.0937802288606
12,50022893,0.013774428763090676,427.00729165581095
12,171008,0.015528412184863845,481.3807777307792
12,132438,0.0066722722727391515,206.8404404549137
12,312745,0.00858140706707677,266.0236190793799
12,171038,0.00898894277049113,278.65722588522505
12,313125,0.06861800768897112,2127.158238358105
12,210928,0.11946176032603657,3703.314570107134
12,5297,0.055091069204868226,1707.823145350915
12,209491,0.0051443695494980185,159.47545603443857
12,50015998,0.019853023097126277,615.4437160109146
12,204648,0.06084117092811128,1886.0762987714497
12,50002690,0.010723444701698429,332.4267857526513
12,309550,0.028082225732672605,870.5489977128508
12,50006188,0.004603316881116115,142.70282331459956
12,1072,0.0431692531909929,1338.24684892078
13,126698,0.11519031023750852,1497.4740330876107
13,50006867,0.13889440991215748,1805.6273288580473
13,167574,0.07412936464156972,963.6817403404063
13,212762,0.05995408919024263,779.4031594731542
13,50000808,0.19964864358486714,2595.432366603273
13,101793,0.1995594468327536,2594.272808825797
13,318052,0.08038703741410295,1045.0314863833385
13,1065,0.04717171011702969,613.232231521386
13,1066,0.02242133039412674,291.47729512364765
13,1067,0.06264365767564155,814.3675497833401
14,321694,0.02290626090625559,687.1878271876677
14,173155,0.02415380209255961,724.6140627767884
14,317634,0.025684389719649085,770.5316915894725
14,159956,0.02483579910123122,745.0739730369366
14,129981,0.027196491510664247,815.8947453199274
14,50009499,0.03049002879710283,914.700863913085
14,314080,0.11299656051603645,3389.896815481093
14,131488,0.11554569113437553,3466.370734031266
14,305303,0.03527261590732718,1058.1784772198155
14,50017134,0.04026501787945481,1207.9505363836442
14,162105,0.04252736656505195,1275.8209969515583
14,163112,0.039227959985963984,1176.8387995789194
14,50011665,0.03503027278174841,1050.9081834524522
14,139652,0.03834786480865486,1150.4359442596458
14,164050,0.042520788400083304,1275.623652002499
14,50022268,0.05151149904369129,1545.3449713107386
14,312376,0.0353119371177399,1059.3581135321972
14,308494,0.021776714607020426,653.3014382106128
14,50015468,0.08625869561881006,2587.7608685643017
