hex_id,point_id,P_ij,population,expected_demand
4,50022727,0.0028088448994243054,15000.0,42.132673491364585
4,132495,0.1474768405280509,15000.0,2212.152607920764
4,103449,0.022957275603582388,15000.0,344.35913405373583
4,204296,0.3640604057480995,15000.0,5460.906086221493
4,325074,0.0210382499110707,15000.0,315.5737486660605
4,50001677,0.3123176446646297,15000.0,4684.764669969445
4,50035379,0.014769567729794776,15000.0,221.54351594692164
4,151795,0.10646144852972864,15000.0,1596.9217279459294
4,327421,0.008109722385619238,15000.0,121.64583578428856
5,5698,1.0,3000.0,3000.0
6,50004504,0.799994775004055,600.0,479.996865002433
6,50004291,0.2000052249959449,600.0,120.00313499756693
11,159686,0.11828525119002826,0.0,0.0
11,205211,0.060722926319398705,0.0,0.0
11,205295,0.046855156464838836,0.0,0.0
11,307145,0.026045773235728948,0.0,0.0
11,122573,0.017694883825945265,0.0,0.0
11,306618,0.01737807147969933,0.0,0.0
11,159308,0.045703845054086756,0.0,0.0
11,309818,0.04693241311852918,0.0,0.0
11,305288,0.055294431619113765,0.0,0.0
11,50010262,0.04080778588471707,0.0,0.0
11,1118,0.049705370570150065,0.0,0.0
11,1119,0.05214995733208141,0.0,0.0
11,1120,0.04934121538973546,0.0,0.0
11,1121,0.1251581777354892,0.0,0.0
11,1122,0.05214995733208141,0.0,0.0
11,1123,0.05214995733208141,0.0,0.0
11,1124,0.049705370570150065,0.0,0.0
11,1134,0.09391945554614488,0.0,0.0
12,115485,0.024637230289687794,31000.0,763.7541389803216
12,50007186,0.06450563720034869,31000.0,1999.6747532108093
12,320938,0.04616769955460896,31000.0,1431.1986861928779
12,142984,0.08075861124691061,31000.0,2503.516948654229
12,161945,0.015456274570059495,31000.0,479.1445116718443
12,211389,0.11750659981740623,31000.0,3642.7045943395933
12,151142,0.013545681529373823,31000.0,419.9161274105885
12,171326,0.10970000520932992,31000.0,3400.7001614892274
12,321023,0.008626963101926255,31000.0,267.4358561597139
12,50000340,0.012876268632574695,31000.0,399.1643276098156
12,50006677,0.020972303867624907,31000.0,650.1414198963721
12,50022893,0.012091360027007041,31000.0,374.8321608372183
12,171008,0.01563213390016615,31000.0,484.59615090515064
12,132438,0.005648567899206684,31000.0,175.1056048754072
